condition,seed,method,slice,n_images,mean_insertion_auc,mean_deletion_auc,mean_target_logit_original,mean_norm_insertion_auc,mean_norm_deletion_auc,mean_drop_top10,mean_drop_top20,flip_rate_top10,flip_rate_top20
moco,0,gradcam,all200,200,0.5199190238030411,0.29817837915793477,0.7061218962073326,0.7433306953533547,0.4341740622433104,0.1329717031121254,0.2795157930254936,0.06,0.155
moco,0,gradcam,primary,127,0.567458848495606,0.3163103551188957,0.7555648025095932,0.7572691115664792,0.4262823553442441,0.12364153211980354,0.29177083403576076,0.031496062992125984,0.10236220472440945
moco,0,gradcampp,all200,200,0.5126168626111408,0.30354192783175726,0.7061218962073326,0.7308265098416921,0.4425086998693166,0.1255559814348817,0.2690777126699686,0.07,0.14
moco,0,gradcampp,primary,127,0.559943361268066,0.32118559384462314,0.7555648025095932,0.7466502386450312,0.43254009100685137,0.11676288718783011,0.2805887031273579,0.03937007874015748,0.08661417322834646
moco,0,occlusion,all200,200,0.4825748368610148,0.2893760911641365,0.7061218962073326,0.7008076661037628,0.4169714958254147,0.2460098247975111,0.31883038621395826,0.16,0.23
moco,0,occlusion,primary,127,0.5193665270850526,0.3175698038827494,0.7555648025095932,0.6947749315601809,0.42752143753252775,0.25187851253926286,0.32695747325270197,0.08661417322834646,0.14173228346456693
moco,1,gradcam,all200,200,0.526143194370372,0.3016175785399755,0.713285473138094,0.7439709478382766,0.4337891676472098,0.13397688046097755,0.2807174038141966,0.07,0.145
moco,1,gradcam,primary,118,0.578785690161851,0.33154449178677464,0.7744108596343106,0.7504023201906116,0.43679388289393745,0.11532036631794298,0.28488758648351087,0.03389830508474576,0.0847457627118644
moco,1,gradcampp,all200,200,0.518759442417258,0.3069312653957484,0.713285473138094,0.7315010672421632,0.4419713700295207,0.1250400424003601,0.27021430104970934,0.075,0.14
moco,1,gradcampp,primary,118,0.5714749619674279,0.33547435730265934,0.7744108596343106,0.7407609597992918,0.44093944401567414,0.11131582952151864,0.2729933777097928,0.025423728813559324,0.059322033898305086
moco,1,occlusion,all200,200,0.48798180848381295,0.29281365186184893,0.713285473138094,0.7008988819692138,0.4165287275954098,0.24786465886980294,0.32111434020102025,0.145,0.225
moco,1,occlusion,primary,118,0.5365656578712628,0.32942321195978386,0.7744108596343106,0.6998601633785376,0.43250054181162984,0.24919819793963838,0.32517672974174305,0.09322033898305085,0.15254237288135594
moco,2,gradcam,all200,200,0.5364194422894829,0.3078396054422571,0.7243999460339546,0.7463535093886625,0.4346205428122736,0.1331998721510172,0.28108263850212095,0.07,0.15
