condition,seed,method,slice,n_images,mean_insertion_auc,mean_deletion_auc,mean_drop_top10,mean_drop_top20,flip_rate_top10,flip_rate_top20
moco,0,gradcam,all200,200,0.5199190238030411,0.29817837915793477,0.1329717031121254,0.2795157930254936,0.06,0.155
moco,0,gradcam,primary,127,0.567458848495606,0.3163103551188957,0.12364153211980354,0.29177083403576076,0.031496062992125984,0.10236220472440945
moco,0,gradcampp,all200,200,0.5126168626111408,0.30354192783175726,0.1255559814348817,0.2690777126699686,0.07,0.14
moco,0,gradcampp,primary,127,0.559943361268066,0.32118559384462314,0.11676288718783011,0.2805887031273579,0.03937007874015748,0.08661417322834646
moco,0,occlusion,all200,200,0.4825748368610148,0.2893760911641365,0.2460098247975111,0.31883038621395826,0.16,0.23
moco,0,occlusion,primary,127,0.5193665270850526,0.3175698038827494,0.25187851253926286,0.32695747325270197,0.08661417322834646,0.14173228346456693
moco,1,gradcam,all200,200,0.526143194370372,0.3016175785399755,0.13397688046097755,0.2807174038141966,0.07,0.145
moco,1,gradcam,primary,118,0.578785690161851,0.33154449178677464,0.11532036631794298,0.28488758648351087,0.03389830508474576,0.0847457627118644
moco,1,gradcampp,all200,200,0.518759442417258,0.3069312653957484,0.1250400424003601,0.27021430104970934,0.075,0.14
moco,1,gradcampp,primary,118,0.5714749619674279,0.33547435730265934,0.11131582952151864,0.2729933777097928,0.025423728813559324,0.059322033898305086
moco,1,occlusion,all200,200,0.48798180848381295,0.29281365186184893,0.24786465886980294,0.32111434020102025,0.145,0.225
moco,1,occlusion,primary,118,0.5365656578712628,0.32942321195978386,0.24919819793963838,0.32517672974174305,0.09322033898305085,0.15254237288135594
moco,2,gradcam,all200,200,0.5364194422894829,0.3078396054422571,0.1331998721510172,0.28108263850212095,0.07,0.15
moco,2,gradcam,primary,123,0.5872373050265258,0.337656411545379,0.1158249460584749,0.28658399603715756,0.04065040650406504,0.08943089430894309
moco,2,gradcampp,all200,200,0.5289860452332305,0.3133968888991005,0.12560352426022292,0.2699677060544491,0.08,0.14
moco,2,gradcampp,primary,123,0.5793599889487503,0.34255209330229197,0.1064224493939702,0.27316825249330784,0.032520325203252036,0.07317073170731707
moco,2,occlusion,all200,200,0.49639580043344295,0.2992793345769962,0.24783926501870154,0.322457327619195,0.145,0.23
moco,2,occlusion,primary,123,0.548314744256941,0.33233275027100134,0.2529775700191172,0.33505593094883895,0.08130081300813008,0.15447154471544716
random_init,0,gradcam,all200,200,0.7051771252175033,0.6057025092116928,0.05629535801708698,0.10053863480687142,0.095,0.175
random_init,0,gradcam,primary,127,0.7931089415100938,0.6981121237026167,0.05286160885818361,0.09249059809005167,0.08661417322834646,0.11811023622047244
random_init,0,gradcampp,all200,200,0.6958689044079297,0.6133314078084047,0.04864909321069717,0.09380745016038418,0.115,0.175
random_init,0,gradcampp,primary,127,0.787715328482079,0.7033727294474491,0.053334691041097865,0.0927235213086361,0.10236220472440945,0.11811023622047244
random_init,0,occlusion,all200,200,0.8887937288857753,0.3812802163443385,0.30737119153141973,0.3894777415692806,0.485,0.58
random_init,0,occlusion,primary,127,0.9280532054471904,0.48579250890406456,0.2683911196828827,0.3573828658719701,0.3228346456692913,0.44881889763779526
random_init,1,gradcam,all200,200,0.7140736856797397,0.6590456405545697,0.03846651330590248,0.06907694876194,0.085,0.14
random_init,1,gradcam,primary,118,0.8018233387219769,0.7325658031270461,0.03878052052804979,0.07101180063465894,0.059322033898305086,0.0847457627118644
random_init,1,gradcampp,all200,200,0.7028835814025398,0.6719099146040185,0.022370807081460952,0.045777193754911426,0.08,0.11
random_init,1,gradcampp,primary,118,0.7910182769911344,0.7485073023759542,0.02519334385455665,0.05231558922993935,0.0423728813559322,0.05084745762711865
random_init,1,occlusion,all200,200,0.8778867147709803,0.44117829076825804,0.23274241514503957,0.3119155228883028,0.39,0.505
random_init,1,occlusion,primary,118,0.9185995465612639,0.5497045446982451,0.19904000665676796,0.2783479098293741,0.2457627118644068,0.3559322033898305
random_init,2,gradcam,all200,200,0.71146884710904,0.6356432740169317,0.037856196761131285,0.07328661024570465,0.075,0.135
random_init,2,gradcam,primary,123,0.8061072146255863,0.7186710590463898,0.043208057318276503,0.08585836332503373,0.06504065040650407,0.11382113821138211
random_init,2,gradcampp,all200,200,0.699747145294471,0.6469298796825447,0.027113165110349655,0.059228175058960914,0.09,0.15
random_init,2,gradcampp,primary,123,0.7946545509368809,0.7286622219856782,0.0369691618574344,0.0654689248015241,0.056910569105691054,0.0975609756097561
random_init,2,occlusion,all200,200,0.8821848703316842,0.40166157484261517,0.2816471745073795,0.35998381301760674,0.475,0.575
random_init,2,occlusion,primary,123,0.9285733575569064,0.502583784219229,0.2613874450931704,0.34322599812251764,0.34146341463414637,0.43902439024390244
supervised,0,gradcam,all200,200,0.9011824496922326,0.7948574696256947,0.035207131952047346,0.06612579554319381,0.035,0.07
supervised,0,gradcam,primary,127,0.9386914658381101,0.858581768469879,0.01173039989208612,0.024037541366937594,0.007874015748031496,0.007874015748031496
supervised,0,gradcampp,all200,200,0.8824100991496424,0.8214344973417178,0.016961565017700197,0.02876026973128319,0.015,0.025
supervised,0,gradcampp,primary,127,0.9281629535904103,0.8763469039362652,0.01135074130193455,0.013974165353249378,0.007874015748031496,0.007874015748031496
supervised,0,occlusion,all200,200,0.9260625417633066,0.7265273521616138,0.16843602821230888,0.21586738407611847,0.15,0.2
supervised,0,occlusion,primary,127,0.9505619307904407,0.8063421486612685,0.11113771303432195,0.15408800953016508,0.05511811023622047,0.10236220472440945
supervised,1,gradcam,all200,200,0.895920914547976,0.7893414197014406,0.03713882982730866,0.057264544814825055,0.035,0.055
supervised,1,gradcam,primary,118,0.9379400057233069,0.8714032628585944,0.01613331699775437,0.015320165682647187,0.00847457627118644,0.00847457627118644
supervised,1,gradcampp,all200,200,0.8783337388678444,0.8170538919067448,0.01903205469250679,0.031397219896316525,0.005,0.025
supervised,1,gradcampp,primary,118,0.9286094010372101,0.8851786645010578,0.011366735575562817,0.012043298806174326,0.0,0.0
supervised,1,occlusion,all200,200,0.9210774361087886,0.7208916137276415,0.1662079121172428,0.21750427037477493,0.12,0.195
supervised,1,occlusion,primary,118,0.9480384436398593,0.8108895267861352,0.11294505454726138,0.1584812902798087,0.0423728813559322,0.11016949152542373
supervised,2,gradcam,all200,200,0.9023821441653649,0.7920336485095945,0.042991016209125515,0.06254726484417915,0.05,0.055
supervised,2,gradcam,primary,123,0.9380216084404615,0.8649338927651906,0.02311512585577926,0.018198915613376027,0.024390243902439025,0.008130081300813009
supervised,2,gradcampp,all200,200,0.8831989964560236,0.8204202934967989,0.018979112952947616,0.030633121132850646,0.01,0.02
supervised,2,gradcampp,primary,123,0.9258043418946341,0.8832641895195119,0.010338243914813531,0.01122687987195767,0.0,0.0
supervised,2,occlusion,all200,200,0.9257613676436077,0.7261833900773657,0.1669988849759102,0.21065320298075677,0.14,0.195
supervised,2,occlusion,primary,123,0.9472408238235753,0.8109964829467549,0.1017771985957293,0.14845437998694133,0.056910569105691054,0.10569105691056911
swav,0,gradcam,all200,200,0.7982969113180242,0.5322698846422198,0.09716267183423043,0.19630190841853618,0.075,0.15
swav,0,gradcam,primary,127,0.8572240427919195,0.5960674741747878,0.07685273228667852,0.16098297862556038,0.047244094488188976,0.08661417322834646
swav,0,gradcampp,all200,200,0.7444885540994776,0.6107021773124192,0.06287578292191029,0.12499812230467797,0.06,0.08
swav,0,gradcampp,primary,127,0.8029859166917629,0.6889367169358294,0.04789682448379637,0.09244097170867319,0.023622047244094488,0.023622047244094488
swav,0,occlusion,all200,200,0.7563049519163297,0.5171115968505656,0.1902724329382181,0.2803347723931074,0.145,0.245
swav,0,occlusion,primary,127,0.8092436396063547,0.6017819253074772,0.14699892687985278,0.23043805008798135,0.05511811023622047,0.14960629921259844
swav,1,gradcam,all200,200,0.7882495383032301,0.5238228737616999,0.09830650076270103,0.20018126688897608,0.06,0.15
