condition_a,condition_b,seed,n_images,wilcoxon_statistic,wilcoxon_pvalue
supervised,moco,0,127,0.0,0.0
supervised,moco,1,118,0.0,0.0
supervised,moco,2,123,0.0,0.0
supervised,swav,0,127,499.0,0.0
supervised,swav,1,118,284.0,0.0
supervised,swav,2,123,341.0,0.0
supervised,random_init,0,127,1439.0,0.0
supervised,random_init,1,118,1195.0,0.0
supervised,random_init,2,123,1364.0,0.0
swav,moco,0,127,2.0,0.0
swav,moco,1,118,6.0,0.0
swav,moco,2,123,11.0,0.0
random_init,moco,0,127,635.0,0.0
random_init,moco,1,118,599.0,0.0
random_init,moco,2,123,683.0,0.0
swav,random_init,0,127,3138.0,0.025872
swav,random_init,1,118,2895.0,0.098352
swav,random_init,2,123,3487.0,0.410603
