condition,method,slice,n_seeds,mean_insertion_auc,std_insertion_auc,mean_deletion_auc,std_deletion_auc,mean_n_images,min_n_images,max_n_images
moco,gradcam,all200,1,0.5199190238030411,0.0,0.29817837915793477,0.0,200.0,200,200
moco,gradcam,primary,1,0.567458848495606,0.0,0.3163103551188957,0.0,127.0,127,127
moco,gradcampp,all200,1,0.5126168626111408,0.0,0.30354192783175726,0.0,200.0,200,200
moco,gradcampp,primary,1,0.559943361268066,0.0,0.32118559384462314,0.0,127.0,127,127
moco,occlusion,all200,1,0.4825748368610148,0.0,0.2893760911641365,0.0,200.0,200,200
moco,occlusion,primary,1,0.5193665270850526,0.0,0.3175698038827494,0.0,127.0,127,127
random_init,gradcam,all200,1,0.7051771252175033,0.0,0.6057025092116928,0.0,200.0,200,200
random_init,gradcam,primary,1,0.7931089415100938,0.0,0.6981121237026167,0.0,127.0,127,127
random_init,gradcampp,all200,1,0.6958689044079297,0.0,0.6133314078084047,0.0,200.0,200,200
random_init,gradcampp,primary,1,0.787715328482079,0.0,0.7033727294474491,0.0,127.0,127,127
random_init,occlusion,all200,1,0.8887937288857753,0.0,0.3812802163443385,0.0,200.0,200,200
random_init,occlusion,primary,1,0.9280532054471904,0.0,0.48579250890406456,0.0,127.0,127,127
supervised,gradcam,all200,1,0.9011824496922326,0.0,0.7948574696256947,0.0,200.0,200,200
supervised,gradcam,primary,1,0.9386914658381101,0.0,0.858581768469879,0.0,127.0,127,127
supervised,gradcampp,all200,1,0.8824100991496424,0.0,0.8214344973417178,0.0,200.0,200,200
supervised,gradcampp,primary,1,0.9281629535904103,0.0,0.8763469039362652,0.0,127.0,127,127
supervised,occlusion,all200,1,0.9260625417633066,0.0,0.7265273521616138,0.0,200.0,200,200
supervised,occlusion,primary,1,0.9505619307904407,0.0,0.8063421486612685,0.0,127.0,127,127
swav,gradcam,all200,1,0.7982969113180242,0.0,0.5322698846422198,0.0,200.0,200,200
swav,gradcam,primary,1,0.8572240427919195,0.0,0.5960674741747878,0.0,127.0,127,127
swav,gradcampp,all200,1,0.7444885540994776,0.0,0.6107021773124192,0.0,200.0,200,200
swav,gradcampp,primary,1,0.8029859166917629,0.0,0.6889367169358294,0.0,127.0,127,127
swav,occlusion,all200,1,0.7563049519163297,0.0,0.5171115968505656,0.0,200.0,200,200
swav,occlusion,primary,1,0.8092436396063547,0.0,0.6017819253074772,0.0,127.0,127,127
