condition,method,mean_insertion_auc,mean_deletion_auc,n_seeds
moco,gradcam,0.567458848495606,0.3163103551188957,1
random_init,gradcam,0.7931089415100938,0.6981121237026167,1
supervised,gradcam,0.9386914658381101,0.858581768469879,1
swav,gradcam,0.8572240427919195,0.5960674741747878,1
moco,gradcampp,0.559943361268066,0.32118559384462314,1
random_init,gradcampp,0.787715328482079,0.7033727294474491,1
supervised,gradcampp,0.9281629535904103,0.8763469039362652,1
swav,gradcampp,0.8029859166917629,0.6889367169358294,1
moco,occlusion,0.5193665270850526,0.3175698038827494,1
random_init,occlusion,0.9280532054471904,0.48579250890406456,1
supervised,occlusion,0.9505619307904407,0.8063421486612685,1
swav,occlusion,0.8092436396063547,0.6017819253074772,1
