condition,seed,method,test_image_id,predicted_class,true_class,correct,insertion_auc,deletion_auc,target_logit_original,baseline_confidence,random_baseline_auc,norm_insertion_auc,norm_deletion_auc,drop_top10,drop_top20,flip_top10,flip_top20,slice
supervised,0,gradcam,199,4,4,True,0.6554361700075234,0.20082409519627198,0.8418223857879639,0.042566146701574326,0.4421942662447691,0.26680042436266244,-0.3019934774915258,0.10633903741836548,0.6653929948806763,False,True,all200
supervised,0,gradcam,228,9,9,True,0.9576677657175174,0.7388567773942383,0.975909411907196,0.7058655619621277,0.8408874869346619,0.4324493181629973,-0.3778301544774244,0.009986698627471924,0.031064271926879883,False,False,all200
supervised,0,gradcam,233,1,1,True,0.9956274407433999,0.9803449415957126,0.9999582767486572,0.939851701259613,0.9699049890041351,0.42794738395890325,0.17369069035517432,0.00015491247177124023,0.00010502338409423828,False,False,all200
supervised,0,gradcam,233,1,1,True,0.9956274407433999,0.9803449415957126,0.9999582767486572,0.939851701259613,0.9699049890041351,0.42794738395890325,0.17369069035517432,0.00015491247177124023,0.00010502338409423828,False,False,primary
supervised,0,gradcam,278,8,8,True,0.9207307348880147,0.7767931794041762,0.9953562617301941,0.4159875214099884,0.7056718915700912,0.37119511004177524,0.12275651564283166,0.005957186222076416,0.0072113871574401855,False,False,all200
supervised,0,gradcam,380,9,9,True,0.9761707617050028,0.738655800271437,0.998611330986023,0.7470731139183044,0.8728422224521637,0.41078664092232664,-0.5334633589479622,0.00037038326263427734,0.0036812424659729004,False,False,all200
supervised,0,gradcam,380,9,9,True,0.9761707617050028,0.738655800271437,0.998611330986023,0.7470731139183044,0.8728422224521637,0.41078664092232664,-0.5334633589479622,0.00037038326263427734,0.0036812424659729004,False,False,primary
supervised,0,gradcam,387,1,1,True,0.9242150867488028,0.8675234714263016,0.816856324672699,0.8304870128631592,0.8236716687679291,10054341.798087373,4385180.265837252,-0.09213852882385254,-0.11152791976928711,False,False,all200
supervised,0,gradcam,431,6,6,True,0.6542136346380794,0.34336203376875984,0.7648555636405945,0.13391746580600739,0.44938651472330093,0.3246390107329957,-0.1680426040501005,0.3419634997844696,0.44664764404296875,True,True,all200
supervised,0,gradcam,431,6,6,True,0.6542136346380794,0.34336203376875984,0.7648555636405945,0.13391746580600739,0.44938651472330093,0.3246390107329957,-0.1680426040501005,0.3419634997844696,0.44664764404296875,True,True,primary
supervised,0,gradcam,546,3,3,True,0.8519843516675557,0.8715029535817289,0.9946733117103577,0.21426428854465485,0.6044688001275063,0.31716131437846656,0.3421720476411301,-0.002802133560180664,-0.003972887992858887,False,False,all200
