condition,seed,epoch,batch_index,num_batches,global_step,train_loss
moco,2,1,1,63,0,2.300971508026123
moco,2,1,2,63,1,2.2977712154388428
moco,2,1,3,63,2,2.2987985610961914
moco,2,1,4,63,3,2.291726589202881
moco,2,1,5,63,4,2.294076919555664
moco,2,1,6,63,5,2.294969081878662
moco,2,1,7,63,6,2.291471242904663
moco,2,1,8,63,7,2.2865798473358154
moco,2,1,9,63,8,2.286891460418701
moco,2,1,10,63,9,2.2883801460266113
moco,2,1,11,63,10,2.2794106006622314
moco,2,1,12,63,11,2.285987377166748
moco,2,1,13,63,12,2.2723560333251953
moco,2,1,14,63,13,2.2736804485321045
moco,2,1,15,63,14,2.274233818054199
moco,2,1,16,63,15,2.267713785171509
moco,2,1,17,63,16,2.2790791988372803
moco,2,1,18,63,17,2.269965887069702
moco,2,1,19,63,18,2.265942335128784
moco,2,1,20,63,19,2.2581772804260254
moco,2,1,21,63,20,2.256505012512207
moco,2,1,22,63,21,2.2634246349334717
moco,2,1,23,63,22,2.2586452960968018
moco,2,1,24,63,23,2.2579071521759033
moco,2,1,25,63,24,2.256314754486084
moco,2,1,26,63,25,2.2607421875
moco,2,1,27,63,26,2.2549021244049072
moco,2,1,28,63,27,2.2367377281188965
moco,2,1,29,63,28,2.24509859085083
moco,2,1,30,63,29,2.236478805541992
moco,2,1,31,63,30,2.24253511428833
moco,2,1,32,63,31,2.23726749420166
moco,2,1,33,63,32,2.237730026245117
moco,2,1,34,63,33,2.234372854232788
moco,2,1,35,63,34,2.243666648864746
moco,2,1,36,63,35,2.2191150188446045
moco,2,1,37,63,36,2.2270102500915527
moco,2,1,38,63,37,2.21179461479187
moco,2,1,39,63,38,2.2168707847595215
moco,2,1,40,63,39,2.2186403274536133
moco,2,1,41,63,40,2.230844259262085
moco,2,1,42,63,41,2.218965530395508
moco,2,1,43,63,42,2.227954864501953
moco,2,1,44,63,43,2.2154507637023926
moco,2,1,45,63,44,2.2245218753814697
moco,2,1,46,63,45,2.2057361602783203
moco,2,1,47,63,46,2.2097573280334473
