condition,seed,recipe_id,epoch,train_loss,val_loss,train_acc,val_acc,lr
random_init,1,random_init_recipe_v1,1,4.623684707641601,2.325956621170044,0.101,0.13,0.029992598405485973
random_init,1,random_init_recipe_v1,2,2.294574821472168,2.157451862335205,0.15725,0.183,0.029970400926424074
random_init,1,random_init_recipe_v1,3,2.1651322994232176,2.1380526418685912,0.18675,0.202,0.029933429469046202
random_init,1,random_init_recipe_v1,4,2.0741469020843506,2.2656505317687987,0.211,0.238,0.029881720519717173
random_init,1,random_init_recipe_v1,5,1.9732293605804443,1.9778060293197632,0.2445,0.274,0.02981532510892707
random_init,1,random_init_recipe_v1,6,1.9045547504425049,1.7578486766815185,0.26,0.284,0.029734308760930334
random_init,1,random_init_recipe_v1,7,1.902162643432617,1.9119851150512694,0.26125,0.304,0.029638751429081213
random_init,1,random_init_recipe_v1,8,1.8605670642852783,1.720295913696289,0.27425,0.312,0.029528747416929468
random_init,1,random_init_recipe_v1,9,1.8166671085357666,2.0728679723739623,0.28575,0.316,0.02940440528515415
random_init,1,random_init_recipe_v1,10,1.796187099456787,1.6658391580581664,0.298,0.355,0.029265847744427306
random_init,1,random_init_recipe_v1,11,1.7777085094451903,2.0983437938690184,0.30575,0.368,0.029113211534313385
random_init,1,random_init_recipe_v1,12,1.7339612617492677,1.6130256338119506,0.30725,0.357,0.028946647288323774
random_init,1,random_init_recipe_v1,13,1.7256372604370118,1.593726689338684,0.32825,0.396,0.02876631938525972
random_init,1,random_init_recipe_v1,14,1.6920861625671386,1.761247986793518,0.34125,0.4,0.028572405786990298
random_init,1,random_init_recipe_v1,15,1.6827304573059083,1.497468957901001,0.35125,0.411,0.02836509786282552
random_init,1,random_init_recipe_v1,16,1.65136439037323,1.4855632343292235,0.3615,0.429,0.028144600200657958
random_init,1,random_init_recipe_v1,17,1.604522183418274,1.4867977409362794,0.3835,0.416,0.027911130405059163
random_init,1,random_init_recipe_v1,18,1.5980070819854737,1.5341395406723022,0.39775,0.404,0.027664918882530233
random_init,1,random_init_recipe_v1,19,1.5821660385131835,2.0187925653457643,0.3955,0.46,0.027406208614118435
random_init,1,random_init_recipe_v1,20,1.5707962856292725,1.4702786321640016,0.405,0.45,0.02713525491562422
random_init,1,random_init_recipe_v1,21,1.5604962062835694,1.3693587093353272,0.41075,0.486,0.02685232518563536
random_init,1,random_init_recipe_v1,22,1.5320826148986817,1.4662703495025635,0.43475,0.496,0.026557698641636845
random_init,1,random_init_recipe_v1,23,1.5018441772460938,1.3683578357696533,0.4425,0.478,0.0262516660444569
random_init,1,random_init_recipe_v1,24,1.481374038696289,1.6909390573501586,0.444,0.442,0.02593452941132118
random_init,1,random_init_recipe_v1,25,1.498952917098999,1.3387847595214843,0.44425,0.508,0.025606601717798216
random_init,1,random_init_recipe_v1,26,1.4716192264556884,1.5530043125152588,0.45725,0.485,0.025268206588930336
random_init,1,random_init_recipe_v1,27,1.4388904151916504,1.2642763757705688,0.46525,0.513,0.024919677979854785
random_init,1,random_init_recipe_v1,28,1.4340210113525391,1.3048566131591797,0.46125,0.519,0.024561359846230355
random_init,1,random_init_recipe_v1,29,1.4033347072601319,1.294211630821228,0.48525,0.5,0.024193605804794658
random_init,1,random_init_recipe_v1,30,1.385290160179138,1.2768552560806274,0.48375,0.509,0.023816778784387108
random_init,1,random_init_recipe_v1,31,1.3770716686248778,1.2841719646453857,0.4845,0.509,0.02343125066778197
