condition,seed,epoch,batch_index,num_batches,global_step,train_loss
supervised,0,1,1,63,0,2.363636016845703
supervised,0,1,2,63,1,2.3235220909118652
supervised,0,1,3,63,2,2.299903154373169
supervised,0,1,4,63,3,2.3001530170440674
supervised,0,1,5,63,4,2.252260684967041
supervised,0,1,6,63,5,2.265514850616455
supervised,0,1,7,63,6,2.2711782455444336
supervised,0,1,8,63,7,2.2260642051696777
supervised,0,1,9,63,8,2.1720874309539795
supervised,0,1,10,63,9,2.1738860607147217
supervised,0,1,11,63,10,2.164677619934082
supervised,0,1,12,63,11,2.1539697647094727
supervised,0,1,13,63,12,2.132061004638672
supervised,0,1,14,63,13,2.1052510738372803
supervised,0,1,15,63,14,2.1151745319366455
supervised,0,1,16,63,15,2.0515575408935547
supervised,0,1,17,63,16,2.0435845851898193
supervised,0,1,18,63,17,2.027341365814209
supervised,0,1,19,63,18,2.0002617835998535
supervised,0,1,20,63,19,2.017061233520508
supervised,0,1,21,63,20,2.0257108211517334
supervised,0,1,22,63,21,2.000572919845581
supervised,0,1,23,63,22,1.9299094676971436
supervised,0,1,24,63,23,1.9774870872497559
supervised,0,1,25,63,24,1.9348876476287842
supervised,0,1,26,63,25,1.878546953201294
supervised,0,1,27,63,26,1.9087207317352295
supervised,0,1,28,63,27,1.8667911291122437
supervised,0,1,29,63,28,1.8936858177185059
supervised,0,1,30,63,29,1.821133017539978
supervised,0,1,31,63,30,1.838494062423706
supervised,0,1,32,63,31,1.8467926979064941
supervised,0,1,33,63,32,1.8098101615905762
supervised,0,1,34,63,33,1.7758235931396484
supervised,0,1,35,63,34,1.8281266689300537
supervised,0,1,36,63,35,1.7751033306121826
supervised,0,1,37,63,36,1.775969386100769
supervised,0,1,38,63,37,1.651686668395996
supervised,0,1,39,63,38,1.7319624423980713
supervised,0,1,40,63,39,1.7386962175369263
supervised,0,1,41,63,40,1.6899170875549316
supervised,0,1,42,63,41,1.711054801940918
supervised,0,1,43,63,42,1.6327152252197266
supervised,0,1,44,63,43,1.6782207489013672
supervised,0,1,45,63,44,1.7108105421066284
supervised,0,1,46,63,45,1.6065055131912231
supervised,0,1,47,63,46,1.6515955924987793
supervised,0,1,48,63,47,1.596929669380188
supervised,0,1,49,63,48,1.5936425924301147
supervised,0,1,50,63,49,1.6261868476867676
supervised,0,1,51,63,50,1.6050128936767578
supervised,0,1,52,63,51,1.5819694995880127
supervised,0,1,53,63,52,1.6205707788467407
supervised,0,1,54,63,53,1.5225732326507568
supervised,0,1,55,63,54,1.5811996459960938
supervised,0,1,56,63,55,1.548509120941162
supervised,0,1,57,63,56,1.4756176471710205
supervised,0,1,58,63,57,1.4997968673706055
supervised,0,1,59,63,58,1.4753000736236572
supervised,0,1,60,63,59,1.5079060792922974
supervised,0,1,61,63,60,1.4517459869384766
supervised,0,1,62,63,61,1.4106063842773438
supervised,0,1,63,63,62,1.396501064300537
