condition,seed,epoch,batch_index,num_batches,global_step,train_loss
supervised,1,1,1,63,0,2.277928352355957
supervised,1,1,2,63,1,2.288177490234375
supervised,1,1,3,63,2,2.2727911472320557
supervised,1,1,4,63,3,2.2168805599212646
supervised,1,1,5,63,4,2.203200340270996
supervised,1,1,6,63,5,2.210966110229492
supervised,1,1,7,63,6,2.2179648876190186
supervised,1,1,8,63,7,2.1660656929016113
supervised,1,1,9,63,8,2.144895553588867
supervised,1,1,10,63,9,2.139155149459839
supervised,1,1,11,63,10,2.1135189533233643
supervised,1,1,12,63,11,2.130791187286377
supervised,1,1,13,63,12,2.1072654724121094
supervised,1,1,14,63,13,2.067967414855957
supervised,1,1,15,63,14,2.0645830631256104
supervised,1,1,16,63,15,2.030484914779663
supervised,1,1,17,63,16,2.001668930053711
supervised,1,1,18,63,17,1.9644238948822021
supervised,1,1,19,63,18,1.9760851860046387
supervised,1,1,20,63,19,1.9697314500808716
supervised,1,1,21,63,20,1.9345946311950684
supervised,1,1,22,63,21,1.913862943649292
supervised,1,1,23,63,22,1.9055569171905518
supervised,1,1,24,63,23,1.9324806928634644
supervised,1,1,25,63,24,1.8734428882598877
supervised,1,1,26,63,25,1.8385705947875977
supervised,1,1,27,63,26,1.8257240056991577
supervised,1,1,28,63,27,1.8855788707733154
supervised,1,1,29,63,28,1.8573344945907593
supervised,1,1,30,63,29,1.8053114414215088
supervised,1,1,31,63,30,1.8104006052017212
supervised,1,1,32,63,31,1.809910774230957
supervised,1,1,33,63,32,1.760689616203308
supervised,1,1,34,63,33,1.7487210035324097
supervised,1,1,35,63,34,1.7759068012237549
supervised,1,1,36,63,35,1.762970209121704
supervised,1,1,37,63,36,1.7040324211120605
supervised,1,1,38,63,37,1.709296464920044
supervised,1,1,39,63,38,1.6797537803649902
supervised,1,1,40,63,39,1.689848780632019
supervised,1,1,41,63,40,1.6886252164840698
supervised,1,1,42,63,41,1.6002793312072754
supervised,1,1,43,63,42,1.6489737033843994
supervised,1,1,44,63,43,1.647465467453003
supervised,1,1,45,63,44,1.6304103136062622
supervised,1,1,46,63,45,1.6234028339385986
supervised,1,1,47,63,46,1.6230435371398926
supervised,1,1,48,63,47,1.5464024543762207
supervised,1,1,49,63,48,1.5729787349700928
supervised,1,1,50,63,49,1.5117149353027344
supervised,1,1,51,63,50,1.534942865371704
supervised,1,1,52,63,51,1.5031696557998657
supervised,1,1,53,63,52,1.5508304834365845
supervised,1,1,54,63,53,1.4940191507339478
supervised,1,1,55,63,54,1.5441807508468628
supervised,1,1,56,63,55,1.5012606382369995
supervised,1,1,57,63,56,1.4817999601364136
supervised,1,1,58,63,57,1.4332356452941895
supervised,1,1,59,63,58,1.5585460662841797
supervised,1,1,60,63,59,1.4519853591918945
supervised,1,1,61,63,60,1.461029291152954
supervised,1,1,62,63,61,1.4311103820800781
supervised,1,1,63,63,62,1.4597996473312378
supervised,1,2,1,63,63,1.4359912872314453
supervised,1,2,2,63,64,1.4020893573760986
supervised,1,2,3,63,65,1.407745599746704
supervised,1,2,4,63,66,1.404468297958374
supervised,1,2,5,63,67,1.3552613258361816
supervised,1,2,6,63,68,1.3886253833770752
supervised,1,2,7,63,69,1.3362597227096558
supervised,1,2,8,63,70,1.2493250370025635
supervised,1,2,9,63,71,1.320317029953003
supervised,1,2,10,63,72,1.3629035949707031
supervised,1,2,11,63,73,1.3156404495239258
supervised,1,2,12,63,74,1.352073311805725
supervised,1,2,13,63,75,1.378531813621521
supervised,1,2,14,63,76,1.3144662380218506
supervised,1,2,15,63,77,1.2736132144927979
supervised,1,2,16,63,78,1.2603851556777954
supervised,1,2,17,63,79,1.2732374668121338
supervised,1,2,18,63,80,1.2791411876678467
supervised,1,2,19,63,81,1.272229790687561
supervised,1,2,20,63,82,1.2482502460479736
supervised,1,2,21,63,83,1.1458758115768433
supervised,1,2,22,63,84,1.2576919794082642
supervised,1,2,23,63,85,1.2326444387435913
supervised,1,2,24,63,86,1.2235698699951172
supervised,1,2,25,63,87,1.2491121292114258
supervised,1,2,26,63,88,1.1584309339523315
supervised,1,2,27,63,89,1.2254359722137451
supervised,1,2,28,63,90,1.2047252655029297
supervised,1,2,29,63,91,1.1768791675567627
supervised,1,2,30,63,92,1.14829421043396
supervised,1,2,31,63,93,1.150498390197754
supervised,1,2,32,63,94,1.130565881729126
supervised,1,2,33,63,95,1.1325459480285645
supervised,1,2,34,63,96,1.1677578687667847
supervised,1,2,35,63,97,1.0876775979995728
supervised,1,2,36,63,98,1.1847001314163208
supervised,1,2,37,63,99,1.1309794187545776
supervised,1,2,38,63,100,1.0909881591796875
supervised,1,2,39,63,101,1.134945034980774
supervised,1,2,40,63,102,1.0762284994125366
supervised,1,2,41,63,103,1.1219899654388428
supervised,1,2,42,63,104,1.0193510055541992
supervised,1,2,43,63,105,1.0419814586639404
supervised,1,2,44,63,106,1.023224115371704
supervised,1,2,45,63,107,1.1323026418685913
supervised,1,2,46,63,108,1.0577826499938965
supervised,1,2,47,63,109,1.0203437805175781
supervised,1,2,48,63,110,1.0986579656600952
supervised,1,2,49,63,111,1.1977198123931885
supervised,1,2,50,63,112,1.0600578784942627
supervised,1,2,51,63,113,1.052161693572998
supervised,1,2,52,63,114,1.103463888168335
supervised,1,2,53,63,115,0.9480477571487427
supervised,1,2,54,63,116,1.083449363708496
supervised,1,2,55,63,117,0.9135643243789673
supervised,1,2,56,63,118,1.0027166604995728
supervised,1,2,57,63,119,0.9747706651687622
supervised,1,2,58,63,120,0.9478728771209717
supervised,1,2,59,63,121,1.02372145652771
supervised,1,2,60,63,122,0.9902374148368835
supervised,1,2,61,63,123,1.072044014930725
supervised,1,2,62,63,124,1.0137016773223877
supervised,1,2,63,63,125,1.1060928106307983
supervised,1,3,1,63,126,0.970308780670166
supervised,1,3,2,63,127,1.008617639541626
supervised,1,3,3,63,128,0.9690824747085571
supervised,1,3,4,63,129,0.9214389324188232
supervised,1,3,5,63,130,0.9121192693710327
supervised,1,3,6,63,131,0.9103373289108276
supervised,1,3,7,63,132,0.9317750334739685
supervised,1,3,8,63,133,0.944520115852356
supervised,1,3,9,63,134,0.9537714719772339
supervised,1,3,10,63,135,0.8066459894180298
supervised,1,3,11,63,136,0.978669285774231
supervised,1,3,12,63,137,0.8671367168426514
supervised,1,3,13,63,138,0.9202272295951843
supervised,1,3,14,63,139,0.8360464572906494
supervised,1,3,15,63,140,0.888170063495636
supervised,1,3,16,63,141,0.9290294051170349
supervised,1,3,17,63,142,0.867211103439331
supervised,1,3,18,63,143,0.8400583863258362
supervised,1,3,19,63,144,0.9639012217521667
supervised,1,3,20,63,145,0.9443697929382324
supervised,1,3,21,63,146,0.8260577917098999
supervised,1,3,22,63,147,0.8642975687980652
supervised,1,3,23,63,148,0.8884825706481934
supervised,1,3,24,63,149,0.9357424974441528
supervised,1,3,25,63,150,0.8297138214111328
supervised,1,3,26,63,151,0.854185938835144
supervised,1,3,27,63,152,0.9250855445861816
supervised,1,3,28,63,153,0.870551347732544
supervised,1,3,29,63,154,0.9380485415458679
supervised,1,3,30,63,155,0.8634172677993774
supervised,1,3,31,63,156,0.8856484889984131
supervised,1,3,32,63,157,0.8191388845443726
supervised,1,3,33,63,158,0.8874615430831909
supervised,1,3,34,63,159,0.8235136270523071
supervised,1,3,35,63,160,0.8118090629577637
supervised,1,3,36,63,161,0.8237026929855347
supervised,1,3,37,63,162,0.7747431397438049
supervised,1,3,38,63,163,0.8052387237548828
supervised,1,3,39,63,164,0.8279567956924438
supervised,1,3,40,63,165,0.7861263155937195
supervised,1,3,41,63,166,0.9088646769523621
supervised,1,3,42,63,167,0.878921627998352
supervised,1,3,43,63,168,0.7740836143493652
supervised,1,3,44,63,169,0.7627324461936951
supervised,1,3,45,63,170,0.8642261624336243
supervised,1,3,46,63,171,0.7731448411941528
supervised,1,3,47,63,172,0.7340916395187378
supervised,1,3,48,63,173,0.7512324452400208
supervised,1,3,49,63,174,0.8293886184692383
supervised,1,3,50,63,175,0.7898483872413635
supervised,1,3,51,63,176,0.7318283319473267
supervised,1,3,52,63,177,0.8362441062927246
supervised,1,3,53,63,178,0.711175799369812
supervised,1,3,54,63,179,0.7019675374031067
supervised,1,3,55,63,180,0.7698526978492737
supervised,1,3,56,63,181,0.6491213440895081
supervised,1,3,57,63,182,0.7464567422866821
supervised,1,3,58,63,183,0.7436516284942627
supervised,1,3,59,63,184,0.826157808303833
supervised,1,3,60,63,185,0.6968812942504883
supervised,1,3,61,63,186,0.7253217697143555
supervised,1,3,62,63,187,0.7066563367843628
supervised,1,3,63,63,188,0.7427917718887329
supervised,1,4,1,63,189,0.7138910889625549
supervised,1,4,2,63,190,0.7568106651306152
supervised,1,4,3,63,191,0.8598039746284485
supervised,1,4,4,63,192,0.65104740858078
supervised,1,4,5,63,193,0.6583701372146606
supervised,1,4,6,63,194,0.8023768663406372
supervised,1,4,7,63,195,0.6592060327529907
supervised,1,4,8,63,196,0.708162784576416
supervised,1,4,9,63,197,0.8126214742660522
supervised,1,4,10,63,198,0.7182250022888184
supervised,1,4,11,63,199,0.6736084222793579
supervised,1,4,12,63,200,0.6680707335472107
supervised,1,4,13,63,201,0.6497935056686401
supervised,1,4,14,63,202,0.8034692406654358
supervised,1,4,15,63,203,0.7552558779716492
supervised,1,4,16,63,204,0.6377805471420288
supervised,1,4,17,63,205,0.5970048904418945
supervised,1,4,18,63,206,0.7142459154129028
supervised,1,4,19,63,207,0.6364517211914062
supervised,1,4,20,63,208,0.7587077617645264
supervised,1,4,21,63,209,0.7861992120742798
supervised,1,4,22,63,210,0.6854370832443237
supervised,1,4,23,63,211,0.6635400652885437
supervised,1,4,24,63,212,0.5874959230422974
supervised,1,4,25,63,213,0.5777539014816284
supervised,1,4,26,63,214,0.6102707386016846
supervised,1,4,27,63,215,0.7007114887237549
supervised,1,4,28,63,216,0.6709467172622681
supervised,1,4,29,63,217,0.7995803356170654
supervised,1,4,30,63,218,0.6333802938461304
supervised,1,4,31,63,219,0.6409050226211548
supervised,1,4,32,63,220,0.7743312120437622
supervised,1,4,33,63,221,0.6243418455123901
supervised,1,4,34,63,222,0.7123688459396362
supervised,1,4,35,63,223,0.5601977109909058
supervised,1,4,36,63,224,0.6492313146591187
supervised,1,4,37,63,225,0.6304084658622742
