condition,seed,epoch,batch_index,num_batches,global_step,train_loss
swav,1,1,1,63,0,2.31323504447937
swav,1,1,2,63,1,2.299649715423584
swav,1,1,3,63,2,2.313887596130371
swav,1,1,4,63,3,2.269002914428711
swav,1,1,5,63,4,2.2550933361053467
swav,1,1,6,63,5,2.255845069885254
swav,1,1,7,63,6,2.2655680179595947
swav,1,1,8,63,7,2.2291855812072754
swav,1,1,9,63,8,2.24116849899292
swav,1,1,10,63,9,2.206578016281128
swav,1,1,11,63,10,2.203629493713379
swav,1,1,12,63,11,2.1873910427093506
swav,1,1,13,63,12,2.1860921382904053
swav,1,1,14,63,13,2.15228271484375
swav,1,1,15,63,14,2.1578598022460938
swav,1,1,16,63,15,2.158968687057495
swav,1,1,17,63,16,2.129514694213867
swav,1,1,18,63,17,2.1331381797790527
swav,1,1,19,63,18,2.133021831512451
swav,1,1,20,63,19,2.142929792404175
swav,1,1,21,63,20,2.079357147216797
swav,1,1,22,63,21,2.121926784515381
swav,1,1,23,63,22,2.09281325340271
swav,1,1,24,63,23,2.0997748374938965
swav,1,1,25,63,24,2.0583906173706055
swav,1,1,26,63,25,2.04168438911438
swav,1,1,27,63,26,2.0557284355163574
swav,1,1,28,63,27,2.041759967803955
swav,1,1,29,63,28,2.0549793243408203
swav,1,1,30,63,29,2.0293266773223877
swav,1,1,31,63,30,2.023622512817383
swav,1,1,32,63,31,2.021684169769287
swav,1,1,33,63,32,1.9675577878952026
swav,1,1,34,63,33,1.968444585800171
swav,1,1,35,63,34,1.976701021194458
swav,1,1,36,63,35,1.9898996353149414
swav,1,1,37,63,36,1.9571548700332642
swav,1,1,38,63,37,1.9562461376190186
swav,1,1,39,63,38,1.9586548805236816
swav,1,1,40,63,39,1.9293463230133057
swav,1,1,41,63,40,1.887399673461914
swav,1,1,42,63,41,1.9205000400543213
swav,1,1,43,63,42,1.921377420425415
swav,1,1,44,63,43,1.9170523881912231
swav,1,1,45,63,44,1.9168338775634766
swav,1,1,46,63,45,1.8964020013809204
swav,1,1,47,63,46,1.8916406631469727
swav,1,1,48,63,47,1.8703193664550781
swav,1,1,49,63,48,1.827104091644287
swav,1,1,50,63,49,1.855201005935669
swav,1,1,51,63,50,1.8104376792907715
swav,1,1,52,63,51,1.8678877353668213
swav,1,1,53,63,52,1.8200817108154297
swav,1,1,54,63,53,1.8132998943328857
swav,1,1,55,63,54,1.8280097246170044
swav,1,1,56,63,55,1.7423146963119507
swav,1,1,57,63,56,1.8026206493377686
swav,1,1,58,63,57,1.7695484161376953
swav,1,1,59,63,58,1.8310884237289429
swav,1,1,60,63,59,1.7649773359298706
swav,1,1,61,63,60,1.7153780460357666
swav,1,1,62,63,61,1.7749274969100952
swav,1,1,63,63,62,1.785997748374939
swav,1,2,1,63,63,1.7441728115081787
swav,1,2,2,63,64,1.73446524143219
swav,1,2,3,63,65,1.717982292175293
swav,1,2,4,63,66,1.6932470798492432
swav,1,2,5,63,67,1.7255727052688599
swav,1,2,6,63,68,1.7671959400177002
swav,1,2,7,63,69,1.6639562845230103
swav,1,2,8,63,70,1.6736903190612793
swav,1,2,9,63,71,1.6849877834320068
swav,1,2,10,63,72,1.6644010543823242
swav,1,2,11,63,73,1.6185780763626099
swav,1,2,12,63,74,1.7074710130691528
swav,1,2,13,63,75,1.7210779190063477
swav,1,2,14,63,76,1.6478211879730225
swav,1,2,15,63,77,1.6268935203552246
swav,1,2,16,63,78,1.6032888889312744
swav,1,2,17,63,79,1.6149616241455078
swav,1,2,18,63,80,1.5580137968063354
swav,1,2,19,63,81,1.6005544662475586
swav,1,2,20,63,82,1.5859742164611816
swav,1,2,21,63,83,1.5215489864349365
swav,1,2,22,63,84,1.5695929527282715
swav,1,2,23,63,85,1.6017515659332275
swav,1,2,24,63,86,1.5665489435195923
swav,1,2,25,63,87,1.5848077535629272
swav,1,2,26,63,88,1.4983186721801758
swav,1,2,27,63,89,1.6010539531707764
swav,1,2,28,63,90,1.5599522590637207
swav,1,2,29,63,91,1.5056202411651611
swav,1,2,30,63,92,1.5689656734466553
swav,1,2,31,63,93,1.5370573997497559
swav,1,2,32,63,94,1.4887745380401611
swav,1,2,33,63,95,1.5605578422546387
swav,1,2,34,63,96,1.4669678211212158
swav,1,2,35,63,97,1.4498385190963745
swav,1,2,36,63,98,1.478590965270996
swav,1,2,37,63,99,1.4443597793579102
swav,1,2,38,63,100,1.4502017498016357
swav,1,2,39,63,101,1.4432401657104492
swav,1,2,40,63,102,1.4941749572753906
swav,1,2,41,63,103,1.4622093439102173
swav,1,2,42,63,104,1.4614791870117188
swav,1,2,43,63,105,1.453378677368164
swav,1,2,44,63,106,1.4547169208526611
swav,1,2,45,63,107,1.4593039751052856
swav,1,2,46,63,108,1.3808815479278564
swav,1,2,47,63,109,1.363998532295227
swav,1,2,48,63,110,1.4090583324432373
swav,1,2,49,63,111,1.4755812883377075
swav,1,2,50,63,112,1.4645596742630005
swav,1,2,51,63,113,1.4641623497009277
swav,1,2,52,63,114,1.3867998123168945
swav,1,2,53,63,115,1.2880547046661377
swav,1,2,54,63,116,1.4344123601913452
swav,1,2,55,63,117,1.326162576675415
swav,1,2,56,63,118,1.370887279510498
swav,1,2,57,63,119,1.4009919166564941
swav,1,2,58,63,120,1.3056411743164062
swav,1,2,59,63,121,1.417612075805664
swav,1,2,60,63,122,1.374495506286621
swav,1,2,61,63,123,1.344470500946045
swav,1,2,62,63,124,1.3781824111938477
swav,1,2,63,63,125,1.3167613744735718
swav,1,3,1,63,126,1.3503832817077637
swav,1,3,2,63,127,1.3770360946655273
swav,1,3,3,63,128,1.283058524131775
swav,1,3,4,63,129,1.3909351825714111
swav,1,3,5,63,130,1.289276123046875
swav,1,3,6,63,131,1.3481252193450928
swav,1,3,7,63,132,1.3335108757019043
swav,1,3,8,63,133,1.2729103565216064
swav,1,3,9,63,134,1.4361357688903809
swav,1,3,10,63,135,1.2389248609542847
swav,1,3,11,63,136,1.2848196029663086
swav,1,3,12,63,137,1.293578028678894
swav,1,3,13,63,138,1.339088797569275
swav,1,3,14,63,139,1.305454969406128
swav,1,3,15,63,140,1.2417800426483154
swav,1,3,16,63,141,1.2183728218078613
swav,1,3,17,63,142,1.199918508529663
swav,1,3,18,63,143,1.1704552173614502
swav,1,3,19,63,144,1.2687753438949585
swav,1,3,20,63,145,1.3708664178848267
swav,1,3,21,63,146,1.2216277122497559
swav,1,3,22,63,147,1.2377049922943115
swav,1,3,23,63,148,1.164281964302063
swav,1,3,24,63,149,1.270219087600708
swav,1,3,25,63,150,1.275830864906311
swav,1,3,26,63,151,1.1990728378295898
swav,1,3,27,63,152,1.2802073955535889
swav,1,3,28,63,153,1.1390111446380615
swav,1,3,29,63,154,1.2849228382110596
