condition,seed,recipe_id,epoch,train_loss,val_loss,train_acc,val_acc,lr
swav,2,probe_recipe_v1,1,2.023664364814758,1.6756690893173218,0.5985,0.897,0.0003
swav,2,probe_recipe_v1,2,1.538746660232544,1.2267868661880492,0.84075,0.912,0.0003
swav,2,probe_recipe_v1,3,1.2068250675201415,0.9320558290481568,0.8555,0.932,0.0003
swav,2,probe_recipe_v1,4,0.9903563618659973,0.7418182182312012,0.86825,0.942,0.0003
swav,2,probe_recipe_v1,5,0.8481462035179138,0.6137721314430237,0.87825,0.943,0.0003
swav,2,probe_recipe_v1,6,0.7360796761512757,0.523856411933899,0.883,0.948,0.0003
swav,2,probe_recipe_v1,7,0.6609953532218933,0.45967978382110597,0.8925,0.95,0.0003
swav,2,probe_recipe_v1,8,0.6107907085418701,0.4075981693267822,0.89275,0.952,0.0003
swav,2,probe_recipe_v1,9,0.5641865136623383,0.368391033411026,0.896,0.956,0.0003
swav,2,probe_recipe_v1,10,0.5166166708469391,0.33681306457519533,0.903,0.958,0.0003
swav,2,probe_recipe_v1,11,0.4999085998535156,0.31125002074241637,0.90175,0.962,0.0003
swav,2,probe_recipe_v1,12,0.4668624658584595,0.28863423204421995,0.905,0.961,0.0003
swav,2,probe_recipe_v1,13,0.44798080730438233,0.2690814378261566,0.90325,0.963,0.0003
swav,2,probe_recipe_v1,14,0.43029446291923523,0.25514573192596435,0.9085,0.964,0.0003
swav,2,probe_recipe_v1,15,0.41436349439620973,0.2396220965385437,0.9065,0.966,0.0003
swav,2,probe_recipe_v1,16,0.39739817643165587,0.22874919080734252,0.909,0.967,0.0003
swav,2,probe_recipe_v1,17,0.38599655055999754,0.2168351137638092,0.90925,0.968,0.0003
swav,2,probe_recipe_v1,18,0.3729114537239075,0.20662970280647278,0.91425,0.967,0.0003
swav,2,probe_recipe_v1,19,0.36672732400894165,0.19936826944351196,0.91125,0.97,0.0003
swav,2,probe_recipe_v1,20,0.3530348436832428,0.1909457359313965,0.9145,0.968,0.0003
swav,2,probe_recipe_v1,21,0.34788028740882876,0.1849578776359558,0.91225,0.97,0.0003
swav,2,probe_recipe_v1,22,0.3292166042327881,0.17730874848365782,0.919,0.968,0.0003
swav,2,probe_recipe_v1,23,0.3248311023712158,0.17245816230773925,0.921,0.97,0.0003
swav,2,probe_recipe_v1,24,0.32036888241767886,0.1663571949005127,0.92375,0.971,0.0003
swav,2,probe_recipe_v1,25,0.3172155976295471,0.16129944443702698,0.9215,0.972,0.0003
swav,2,probe_recipe_v1,26,0.31906718921661376,0.15848672461509705,0.9195,0.971,0.0003
swav,2,probe_recipe_v1,27,0.2990598278045654,0.15257542181015016,0.9215,0.972,0.0003
swav,2,probe_recipe_v1,28,0.293885671377182,0.1500212424993515,0.9255,0.973,0.0003
swav,2,probe_recipe_v1,29,0.28466523134708405,0.14513363933563234,0.9305,0.973,0.0003
swav,2,probe_recipe_v1,30,0.2832279462814331,0.14237612307071687,0.9255,0.973,0.0003
swav,2,probe_recipe_v1,31,0.28419467878341675,0.13939415943622588,0.92675,0.972,0.0003
swav,2,probe_recipe_v1,32,0.27814983248710634,0.13886553072929383,0.93375,0.971,0.0003
swav,2,probe_recipe_v1,33,0.27392577958106995,0.13460986399650574,0.924,0.972,0.0003
swav,2,probe_recipe_v1,34,0.2747057330608368,0.13159338212013244,0.9245,0.973,0.0003
swav,2,probe_recipe_v1,35,0.2639006383419037,0.128228502035141,0.92725,0.973,0.0003
swav,2,probe_recipe_v1,36,0.25601527488231657,0.1254653867483139,0.931,0.973,0.0003
swav,2,probe_recipe_v1,37,0.24931993079185485,0.12421873438358307,0.935,0.974,0.0003
swav,2,probe_recipe_v1,38,0.259210711479187,0.1224657027721405,0.929,0.973,0.0003
swav,2,probe_recipe_v1,39,0.254927504658699,0.12012311184406281,0.931,0.974,0.0003
swav,2,probe_recipe_v1,40,0.24138660502433776,0.11751801061630249,0.9365,0.974,0.0003
swav,2,probe_recipe_v1,41,0.2408460123538971,0.11661329865455627,0.93425,0.973,0.0003
swav,2,probe_recipe_v1,42,0.2416181744337082,0.11412630772590637,0.9315,0.974,0.0003
swav,2,probe_recipe_v1,43,0.24441251349449158,0.11280376040935516,0.93275,0.973,0.0003
swav,2,probe_recipe_v1,44,0.23293386626243592,0.11110400724411011,0.93675,0.974,0.0003
swav,2,probe_recipe_v1,45,0.2317052321434021,0.10870526695251465,0.93075,0.975,0.0003
swav,2,probe_recipe_v1,46,0.23721633875370027,0.10790429973602295,0.93525,0.974,0.0003
swav,2,probe_recipe_v1,47,0.23518736135959625,0.10588465440273286,0.9335,0.974,0.0003
swav,2,probe_recipe_v1,48,0.2224451311826706,0.10537122881412506,0.94175,0.973,0.0003
swav,2,probe_recipe_v1,49,0.22308372855186462,0.10296125745773316,0.94175,0.975,0.0003
swav,2,probe_recipe_v1,50,0.22599708545207978,0.10139392113685608,0.93575,0.976,0.0003
